      ms    dt_ms    fps   drw_ms   upd_ms   net_ms    nobj   drw_o   drw_g      drw_t
 0001117  16.0983  00080  15.8443   0.0223   0.0000  000205  000205  000205  000010172
 0002117  16.1632  00060  15.9592   0.0190   0.0000  000205  000205  000205  000010172
 0003117  16.7308  00059  16.3891   0.0295   0.0000  000205  000205  000205  000010172
 0004117  16.7330  00060  16.4157   0.0281   0.0000  000205  000205  000205  000010172
 0005118  16.9229  00059  16.5701   0.0369   0.0000  000205  000205  000205  000010172
 0006118  16.7470  00060  16.4312   0.0276   0.0000  000205  000205  000205  000010172
 0007118  17.0551  00060  16.7231   0.0281   0.0000  000205  000205  000205  000010172
 0008119  16.7373  00060  16.4156   0.0281   0.0000  000205  000205  000205  000010172
 0009119  16.1524  00060  15.8672   0.0281   0.0000  000205  000205  000205  000010172
 0010119  16.4871  00060  16.2348   0.0243   0.0000  000205  000205  000205  000010172
 0011119  16.9285  00059  16.6247   0.0300   0.0000  000205  000205  000205  000010172
 0012119  16.7510  00060  16.4656   0.0261   0.0000  000205  000205  000205  000010172
 0013120  16.4228  00060  16.1373   0.0189   0.0000  000205  000205  000205  000010172
 0014120  16.4756  00059  16.2709   0.0192   0.0000  000205  000205  000205  000010172
 0015120  16.6031  00060  16.2854   0.0277   0.0000  000205  000205  000205  000010172
 0016121  16.8802  00059  16.5667   0.0291   0.0000  000205  000205  000205  000010172
 0017121  16.9662  00060  16.6616   0.0286   0.0000  000205  000205  000205  000010172
 0018122  16.3200  00060  15.9236   0.0352   0.0000  000205  000205  000205  000010172
 0019137  17.2464  00059  16.9800   0.0296   0.0000  000205  000205  000205  000010172
 0020138  16.4772  00060  16.1764   0.0305   0.0000  000205  000205  000205  000010172
 0021139  17.0332  00059  16.6410   0.0381   0.0000  000205  000205  000205  000010172
 0022139  16.6093  00060  16.2904   0.0325   0.0000  000205  000205  000205  000010172
 0023139  16.5421  00060  16.2589   0.0295   0.0000  000205  000205  000205  000010172
 0024140  16.5115  00060  16.1632   0.0295   0.0000  000205  000205  000205  000010172
 0025140  16.9933  00059  16.7280   0.0300   0.0000  000205  000205  000205  000010172
 0026140  16.4049  00060  16.0929   0.0306   0.0000  000205  000205  000205  000010172
 0027140  16.5576  00060  16.2827   0.0459   0.0000  000205  000205  000205  000010172
 0028141  16.8922  00060  16.5640   0.0296   0.0000  000205  000205  000205  000010172
 0029141  16.5115  00060  16.2563   0.0258   0.0000  000205  000205  000205  000010172
 0030140  16.7108  00060  16.5002   0.0188   0.0000  000205  000205  000205  000010172
 0031141  16.5954  00059  16.3996   0.0194   0.0000  000205  000205  000205  000010172
 0032141  16.7378  00060  16.5574   0.0214   0.0000  000205  000205  000205  000010172
 0033142  16.4364  00059  16.1322   0.0329   0.0000  000205  000205  000205  000010172
 0034142  16.8576  00060  16.5449   0.0298   0.0000  000205  000205  000205  000010172
 0035143  16.8053  00059  16.4517   0.0385   0.0000  000218  000218  000218  000010216
 0036160  16.9667  00060  16.6224   0.0291   0.0000  000206  000206  000206  000010138
 0037160  16.7088  00059  16.3401   0.0377   0.0000  000206  000206  000206  000010138
 0038160  16.3927  00060  16.0628   0.0292   0.0000  000206  000206  000206  000010138
 0039160  16.6446  00060  16.3268   0.0295   0.0000  000206  000206  000206  000010138
 0040161  16.9768  00060  16.6268   0.0302   0.0000  000206  000206  000206  000010138
 0041161  16.4345  00060  16.1591   0.0296   0.0000  000206  000206  000206  000010138
 0042161  16.4128  00060  16.1191   0.0251   0.0000  000206  000206  000206  000010138
 0043162  16.8940  00059  16.5132   0.0355   0.0000  000206  000206  000206  000010138
 0044162  16.7262  00060  16.4046   0.0286   0.0000  000206  000206  000206  000010138
 0045162  16.9628  00059  16.6026   0.0347   0.0000  000206  000206  000206  000010138
 0046178  16.9633  00060  16.7006   0.0250   0.0000  000206  000206  000206  000010138
 0047179  16.7080  00059  16.3782   0.0296   0.0000  000206  000206  000206  000010138
 0048179  16.2272  00060  16.0150   0.0192   0.0000  000206  000206  000206  000010138
 0049180  15.9997  00060  15.6630   0.0344   0.0000  000206  000206  000206  000010138
 0050180  16.7949  00059  16.4693   0.0369   0.0000  000206  000206  000206  000010138
 0051180  16.8598  00060  16.6860   0.0238   0.0000  000206  000206  000206  000010138
 0052181  15.6082  00060  15.3212   0.0363   0.0000  000206  000206  000206  000010138
 0053180  17.4371  00059  17.1140   0.0339   0.0000  000206  000206  000206  000010138
 0054197  16.9450  00060  16.7214   0.0305   0.0000  000212  000212  000212  000010146
 0055198  16.4255  00060  16.1861   0.0329   0.0000  000211  000211  000211  000010142
 0056198  16.9090  00060  16.6937   0.0423   0.0000  000211  000211  000211  000010142
 0057198  16.6178  00059  16.3839   0.0305   0.0000  000211  000211  000211  000010142
 0058198  16.5212  00060  16.3457   0.0390   0.0000  000211  000211  000211  000010142
 0059198  16.7727  00060  16.5610   0.0425   0.0000  000211  000211  000211  000010142
